Break_ID,Date,Fund_Name,ISIN,Break_Type,Expected_NAV,Calculated_NAV,Variance_EUR,Variance_Pct,Root_Cause,Resolution,Status,Resolved_By,Resolution_Date
BRK-2026-001,2026-03-03,Global Equity Fund,IE00B4X9L533,Pricing Error,145.01,145.08,0.07,0.0483,Stale closing price used for ASML Holding NV (ASML NA) -- Bloomberg feed delayed by 15 minutes,Administrator repriced using official Euronext closing price and recalculated NAV,Resolved,Admin A Contact (Fund Admin A),2026-03-04
BRK-2026-002,2026-03-05,European Bond Fund,IE00BK5BQ103,FX Rate Mismatch,102.01,102.04,0.03,0.0294,EUR/USD WM Reuters 4pm fix not applied -- administrator used indicative rate from 2pm,Revalued USD-denominated holdings using correct WMR 4pm fixing rate,Resolved,Admin B Contact (Fund Admin B),2026-03-06
BRK-2026-003,2026-03-09,Emerging Markets Fund,IE00BFYN9Y00,Corporate Action Miss,87.68,87.52,-0.16,0.1825,Stock dividend on Issuer X (005930 KS) not captured in portfolio accounting,Applied 0.5% stock dividend to Issuer X position and recalculated NAV,Resolved,Admin A Contact (Fund Admin A),2026-03-10
BRK-2026-004,2026-03-11,Multi-Asset Growth Fund,LU0292097234,Trade Settlement Failure,119.34,119.29,-0.05,0.0419,Bond purchase (DE0001102481 -- German Bund) settled T+3 instead of expected T+2; cash position overstated,Adjusted cash and bond positions to reflect actual settlement date; no NAV impact on restatement,Resolved,Admin C Contact (Fund Admin C),2026-03-12
BRK-2026-005,2026-03-12,Real Estate Opportunities Fund,LU0488316133,Valuation Dispute,112.38,112.21,-0.17,0.1513,Independent valuer (CBRE) updated Q1 appraisal for Dublin office property 3 days earlier than expected; administrator used prior quarter valuation,Applied updated CBRE Q1 2026 valuation for Dublin 2 office asset,Resolved,Admin D Contact (Fund Admin D),2026-03-13
BRK-2026-006,2026-03-16,Global Equity Fund,IE00B4X9L533,Accrual Error,146.58,146.61,0.03,0.0205,Management fee accrual calculated on 365-day basis instead of actual/365 for leap year adjustment,Corrected day-count convention in fee accrual calculation,Resolved,Admin A Contact (Fund Admin A),2026-03-16
BRK-2026-007,2026-03-18,Private Credit Fund,LU0629460675,Pricing Error,104.30,104.42,0.12,0.1151,Loan position (Arvento Capital Senior Secured) marked using bid price instead of mid-market per valuation policy,Repriced using mid-market quote per fund prospectus valuation methodology,Resolved,Admin D Contact (Fund Admin D),2026-03-19
BRK-2026-008,2026-03-20,European Bond Fund,IE00BK5BQ103,Cash Reconciliation Break,102.25,102.27,0.02,0.0196,Subscription proceeds of EUR 250000 booked to income account instead of subscription account,Reclassified cash entry to correct bank account; NAV unaffected after correction,Resolved,Admin B Contact (Fund Admin B),2026-03-20
BRK-2026-009,2026-03-24,Emerging Markets Fund,IE00BFYN9Y00,FX Rate Mismatch,88.37,88.41,0.04,0.0453,BRL/USD rate sourced from incorrect data provider; should use Central Bank of Brazil official rate per prospectus,Revalued BRL-denominated positions using BCB official closing rate,Open,Pending Review,
BRK-2026-010,2026-03-26,Multi-Asset Growth Fund,LU0292097234,Pricing Error,120.08,120.14,0.06,0.0500,ETF holding (iShares MSCI EM -- IEEM LN) priced using indicative iNAV instead of official closing NAV per LSE,Under investigation -- awaiting confirmation of correct closing price from LSE market data,Open,Pending Review,
